290->260: 0, total: 0
330->314: 0, total: 1191
314->71: 0, total: 1191
71->157: 0, total: 1191
157->23: 0, total: 1191
23->167: 27, total: 1218
167->149: 0, total: 1218
149->156: 0, total: 1218
156->216: 0, total: 1218
216->95: 0, total: 1218
95->159: 25, total: 1243
159->289: 29, total: 1272
289->107: 3, total: 1275
107->282: 24, total: 1299
282->240: 0, total: 1299
240->430: 23, total: 1322
430->182: 0, total: 1322
182->37: 0, total: 1322
37->230: 0, total: 1322
230->106: 0, total: 1322
106->214: 23, total: 1345
214->40: 1, total: 1346
40->305: 23, total: 1369
305->264: 0, total: 1369
264->255: 0, total: 1369
255->221: 0, total: 1369
221->161: 25, total: 1394
161->138: 0, total: 1394
138->374: 0, total: 1394
374->135: 20, total: 1414
135->194: 18, total: 1432
194->79: 0, total: 1432
79->53: 18, total: 1450
53->27: 0, total: 1450
27->92: 23, total: 1473
92->18: 12, total: 1485
18->17: 0, total: 1485
17->413: 0, total: 1485
413->395: 0, total: 1485
395->4: 0, total: 1485
4->247: 0, total: 1485
247->361: 15, total: 1500
361->307: 28, total: 1528
307->225: 0, total: 1528
225->166: 24, total: 1552
166->3: 0, total: 1552
3->142: 0, total: 1552
142->97: 0, total: 1552
97->376: 0, total: 1552
376->313: 0, total: 1552
313->56: 0, total: 1552
56->128: 0, total: 1552
128->116: 1, total: 1553
116->9: 25, total: 1578
9->61: 6, total: 1584
61->236: 0, total: 1584
236->70: 0, total: 1584
70->5: 18, total: 1602
5->341: 33, total: 1635
341->278: 0, total: 1635
278->316: 0, total: 1635
316->193: 0, total: 1635
193->218: 0, total: 1635
218->150: 24, total: 1659
150->76: 0, total: 1659
76->352: 0, total: 1659
352->300: 0, total: 1659
300->24: 0, total: 1659
24->415: 10, total: 1669
415->292: 0, total: 1669
292->249: 0, total: 1669
249->171: 0, total: 1669
171->188: 0, total: 1669
188->169: 0, total: 1669
169->152: 0, total: 1669
152->356: 0, total: 1669
356->82: 0, total: 1669
82->245: 0, total: 1669
245->280: 0, total: 1669
280->14: 0, total: 1669
14->222: 23, total: 1692
222->141: 0, total: 1692
141->130: 25, total: 1717
130->294: 2, total: 1719
294->442: 25, total: 1744
442->265: 0, total: 1744
265->256: 0, total: 1744
256->36: 0, total: 1744
36->370: 0, total: 1744
370->110: 1, total: 1745
110->281: 0, total: 1745
281->269: 0, total: 1745
269->133: 16, total: 1761
133->59: 24, total: 1785
59->132: 21, total: 1806
132->20: 2, total: 1808
20->21: 23, total: 1831
21->368: 3, total: 1834
368->412: 0, total: 1834
412->13: 0, total: 1834
13->364: 0, total: 1834
364->375: 12, total: 1846
375->181: 0, total: 1846
181->172: 0, total: 1846
172->237: 0, total: 1846
237->327: 0, total: 1846
327->310: 0, total: 1846
310->333: 0, total: 1846
333->297: 0, total: 1846
297->234: 0, total: 1846
234->287: 23, total: 1869
287->146: 0, total: 1869
146->145: 0, total: 1869
145->209: 0, total: 1869
209->34: 1, total: 1870
34->299: 25, total: 1895
299->386: 18, total: 1913
386->81: 0, total: 1913
81->93: 0, total: 1913
93->105: 0, total: 1913
105->103: 0, total: 1913
103->196: 0, total: 1913
196->101: 0, total: 1913
101->382: 25, total: 1938
382->192: 0, total: 1938
192->46: 0, total: 1938
46->340: 0, total: 1938
340->275: 0, total: 1938
275->203: 27, total: 1965
203->91: 0, total: 1965
91->301: 18, total: 1983
301->242: 0, total: 1983
242->262: 0, total: 1983
262->440: 0, total: 1983
440->371: 0, total: 1983
371->114: 0, total: 1983
114->288: 23, total: 2006
288->273: 1, total: 2007
273->178: 0, total: 2007
178->179: 0, total: 2007
179->126: 0, total: 2007
126->58: 0, total: 2007
58->367: 0, total: 2007
367->354: 0, total: 2007
354->286: 0, total: 2007
286->43: 0, total: 2007
43->99: 0, total: 2007
99->31: 16, total: 2023
31->191: 31, total: 2054
191->360: 0, total: 2054
360->226: 1, total: 2055
226->68: 23, total: 2078
68->50: 0, total: 2078
50->22: 0, total: 2078
22->134: 28, total: 2106
134->57: 1, total: 2107
57->202: 18, total: 2125
202->176: 0, total: 2125
176->344: 16, total: 2141
344->113: 0, total: 2141
113->326: 18, total: 2159
326->293: 0, total: 2159
293->363: 15, total: 2174
363->10: 0, total: 2174
10->420: 24, total: 2198
420->111: 0, total: 2198
111->434: 25, total: 2223
434->112: 0, total: 2223
112->49: 0, total: 2223
49->312: 0, total: 2223
312->306: 0, total: 2223
306->204: 0, total: 2223
204->421: 14, total: 2237
421->396: 27, total: 2264
396->174: 26, total: 2290
174->98: 0, total: 2290
98->155: 21, total: 2311
155->108: 0, total: 2311
108->325: 6, total: 2317
325->302: 0, total: 2317
302->321: 0, total: 2317
321->123: 0, total: 2317
123->119: 15, total: 2332
119->144: 0, total: 2332
144->208: 24, total: 2356
208->60: 0, total: 2356
60->69: 0, total: 2356
69->136: 0, total: 2356
136->62: 0, total: 2356
62->224: 15, total: 2371
224->243: 1, total: 2372
243->66: 15, total: 2387
66->44: 0, total: 2387
44->75: 0, total: 2387
75->175: 0, total: 2387
175->30: 0, total: 2387
30->33: 0, total: 2387
33->0: 0, total: 2387
0->205: 0, total: 2387
205->199: 0, total: 2387
199->80: 0, total: 2387
80->439: 0, total: 2387
439->346: 0, total: 2387
346->318: 0, total: 2387
318->271: 0, total: 2387
271->334: 0, total: 2387
334->118: 0, total: 2387
118->173: 15, total: 2402
173->379: 3, total: 2405
379->266: 1, total: 2406
266->263: 0, total: 2406
263->436: 0, total: 2406
436->431: 0, total: 2406
431->124: 0, total: 2406
124->88: 0, total: 2406
88->298: 0, total: 2406
298->250: 0, total: 2406
250->323: 0, total: 2406
323->164: 0, total: 2406
164->87: 0, total: 2406
87->427: 0, total: 2406
427->423: 0, total: 2406
423->350: 16, total: 2422
350->252: 0, total: 2422
252->336: 33, total: 2455
336->227: 0, total: 2455
227->331: 0, total: 2455
331->151: 0, total: 2455
151->85: 0, total: 2455
85->137: 0, total: 2455
137->78: 0, total: 2455
78->347: 33, total: 2488
347->248: 0, total: 2488
248->16: 0, total: 2488
16->63: 0, total: 2488
63->35: 0, total: 2488
35->187: 33, total: 2521
187->163: 16, total: 2537
163->279: 0, total: 2537
279->277: 0, total: 2537
277->441: 0, total: 2537
441->241: 0, total: 2537
241->26: 0, total: 2537
26->303: 0, total: 2537
303->153: 0, total: 2537
153->148: 0, total: 2537
148->417: 0, total: 2537
417->390: 0, total: 2537
390->190: 33, total: 2570
190->104: 0, total: 2570
104->29: 0, total: 2570
29->359: 0, total: 2570
359->329: 28, total: 2598
329->73: 0, total: 2598
73->170: 25, total: 2623
170->414: 0, total: 2623
414->39: 0, total: 2623
39->387: 0, total: 2623
387->90: 0, total: 2623
90->165: 23, total: 2646
165->419: 10, total: 2656
419->238: 0, total: 2656
238->147: 0, total: 2656
147->407: 25, total: 2681
407->131: 15, total: 2696
131->401: 23, total: 2719
401->380: 0, total: 2719
380->228: 0, total: 2719
228->432: 0, total: 2719
432->409: 0, total: 2719
409->290: 33, total: 2752
Calculated distance: 2752
Distance from the solution: 2719
Solution is invalid.
